class	url	status	n_redirects	redirect_chain	final_url	title	note	context	source_files	live_referrers	verify_code	verify_hops	verify_final	verify_result
blocked_403	https://www.biostars.org/p/210401/	403	0			Just a moment...		archival	content/news/bioc_3_4_release.md		403	0	https://www.biostars.org/p/210401/	BLOCKED_403
blocked_403	https://www.sciencedirect.com/science/article/pii/S2666979X21001063?via%3Dihub	403	0					live	content/help/publications.md	https://bioconductor.org/help/publications; https://bioconductor.org/help/publications/	403	0	https://www.sciencedirect.com/science/article/pii/S2666979X21001063?via%3Dihub	BLOCKED_403
dead_host_dns	http://bioinformatics.fmrp.usp.br/ESPCAoncogenesis/	DNS_FAIL	0					live	content/help/events/BrazilFeb2014.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://bioinformatics.fmrp.usp.br/curso2014/	DNS_FAIL	0					archival	content/help/newsletters/2014_April.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://bioinformatics.fmrp.usp.br/curso2014/agenda/	DNS_FAIL	0					live	content/help/events/SaoPaulo2014.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://bioinformatics.fmrp.usp.br/laba2014/	DNS_FAIL	0					live	content/help/course-materials/2014/Epigenomics.yaml; content/help/events/BrazilAug2014.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://biostat.mc.vanderbilt.edu/wiki/Main/UseR-2012	DNS_FAIL	0					archival	content/help/course-materials/2012/useR2012.yaml		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://biosun1.harvard.edu/~rgentlem/HTML/home.html	DNS_FAIL	0					archival	content/help/course-materials/2003/Milan.html		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://cagrid-portal.nci.nih.gov	DNS_FAIL	0					content	content/help/cabig.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://comments.gmane.org/gmane.comp.programming.swig.devel/22966	DNS_FAIL	0					content	content/developers/how-to/mavericks-howto.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://daisy.prevmed.northwestern.edu/~denise/BiocChicago2007	DNS_FAIL	0					archival	content/help/course-materials/2007/chicago2007.html		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://elhamazizi.info/	DNS_FAIL	0					archival	content/help/course-materials/2017/BioC2017.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://genomics.jhu.edu/hopkinsworkshop/index.html	DNS_FAIL	0					live	content/help/events/JHU2012.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://genomics.jhu.edu/workshop.html	DNS_FAIL	0					live	content/help/events/CCG2013.yaml; content/help/events/PracticalGenomics2014.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://gentleman.fhcrc.org	DNS_FAIL	0					live	content/help/course-materials/2003/MGED6.html; content/help/course-materials/2003/Tokyo.html; content/help/course-materials/2004/Bressanone.html; content/help/publications/books/bioinformatics-and-computational-biology-solutions.html	https://bioconductor.org/help/publications/books/bioinformatics-and-computational-biology-solutions/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://hopkinsworkshop.org/index.html	DNS_FAIL	0					live	content/help/events/PracticalGenomics2011.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/	DNS_FAIL	0					live	content/help/course-materials/2013/CSAMA2013.yaml; content/help/events/Brixen2012.yaml; content/help/events/Brixen2013.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2005/	DNS_FAIL	0					archival	content/help/course-materials/2005.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2006/	DNS_FAIL	0					archival	content/help/course-materials/2006.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2007/	DNS_FAIL	0					archival	content/help/course-materials/2007.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2008/	DNS_FAIL	0					archival	content/help/course-materials/2008.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2009/	DNS_FAIL	0					archival	content/help/course-materials/2009.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2010/	DNS_FAIL	0					live	content/help/course-materials/2010/CSAMA10.yaml; content/help/events/CSAMA10.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2011/	DNS_FAIL	0					live	content/help/events/Brixen2011.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://marray.economia.unimi.it/2012/	DNS_FAIL	0					archival	content/help/course-materials/2012/Bressanone2012.yaml		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://permalink.gmane.org/gmane.science.biology.informatics.conductor/44745	DNS_FAIL	0					archival	content/news/bioc_2_12_release.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://permalink.gmane.org/gmane.science.biology.informatics.conductor/48534	DNS_FAIL	0					archival	content/news/bioc_2_14_release.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://preview.data.humancellatlas.org/	DNS_FAIL	0					archival	content/news/bioc_3_9_release.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://rana.lbl.gov/EisenSoftware.htm	DNS_FAIL	0					archival	content/help/course-materials/2002/Heidelberg02.html		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://stat2016.china-r.org/en/	DNS_FAIL	0					archival	content/help/course-materials/2016/China-R.md; content/help/course-materials/2016/China-R.yaml		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://tengfei.github.com/ggbio	DNS_FAIL	0					archival	content/news/bioc_2_10_release.md; content/news/bioc_2_11_release.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://user2014.stat.ucla.edu/	DNS_FAIL	0					archival	content/help/course-materials/2014/useR2014.md; content/help/course-materials/2014/useR2014.yaml		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://watson.nci.nih.gov/~sdavis/tutorials/	DNS_FAIL	0					archival	content/help/course-materials/2012/SeattleFeb2012.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://weka.wikispaces.com/Where+is+my+home+directory+located%3F	DNS_FAIL	0					live	content/help/bioconductor-cloud-ami.md	http://bioconductor.org/help/bioconductor-cloud-ami/; https://bioconductor.org/help/bioconductor-cloud-ami/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://wiki.biostat.berkeley.edu/~bullard/courses/T-mexico-08/	DNS_FAIL	0					archival	content/help/course-materials/2008.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://wiki.fhcrc.org/bioc/Lausanne_Dev_Meeting_2007	DNS_FAIL	0					archival	content/help/course-materials/2007/biocdevmeeting.html		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://wiki.fhcrc.org/bioc/Lausanne_Dev_Meeting_2008	DNS_FAIL	0					archival	content/help/course-materials/2008.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://wiki.fhcrc.org/bioc/Seattle_Dev_Meeting_2012	DNS_FAIL	0					archival	content/help/course-materials/extra/BioC2012_setup_guide.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www-lmc.imag.fr/lmc-sms/Anestis.Antoniadis/	DNS_FAIL	0					archival	content/help/course-materials/2003/Milan.html		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www.bio.ri.ccf.org/ASA/FallWorkshopAnnouncementFinal_20130628.pdf	DNS_FAIL	0					archival	content/help/course-materials/2013/Akron-Oct-2013.yaml		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www.bioinformatica.unito.it/RNAseq.course.html	DNS_FAIL	0					live	content/help/events/TorinoMarch2013.yaml; content/help/events/TorinoMarch2014.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www.bioinformatica.unito.it/exon.array.course.html	DNS_FAIL	0					live	content/help/events/GeneChipExonFeb2011.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www.ebi.ac.uk/biomodels-main/	DNS_FAIL	1	301->https://biomodels.org-main/	https://biomodels.org-main/			archival	content/news/bioc_2_13_release.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www.edii.uclm.es/~useR-2013/	DNS_FAIL	0					archival	content/help/course-materials/2013/useR2013.yaml		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www.genomeeting.com/	DNS_FAIL	0					live	content/help/events/WinterGenomics16.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
